"pel"	"year"	"mon"	"var"	"value"	"time"
"366"	0	2015	6	"ptot"	43.5	2015.44566210046
"367"	0	2015	7	"ntot"	524.444444444444	2015.53698630137
"368"	0	2015	7	"ptot"	48	2015.53698630137
"369"	0	2015	8	"ntot"	587.307692307692	2015.63582718651
"370"	0	2015	8	"ptot"	51.8846153846154	2015.63582718651
"371"	0	2015	9	"ntot"	611.25	2015.69880136986
"372"	0	2015	9	"ptot"	59.125	2015.69880136986
"373"	0	2016	6	"ntot"	724.444444444444	2016.45355191257
"374"	0	2016	6	"ptot"	49.3333333333333	2016.45355191257
"375"	0	2016	7	"ntot"	655.714285714286	2016.55113192818
"376"	0	2016	7	"ptot"	46.4285714285714	2016.55113192818
"377"	0	2016	8	"ntot"	657.777777777778	2016.63782635094
"378"	0	2016	8	"ptot"	53.3333333333333	2016.63782635094
"379"	0	2016	9	"ntot"	603.928571428571	2016.70765027322
"380"	0	2016	9	"ptot"	52.0714285714286	2016.70765027322
"381"	0	2017	6	"ntot"	583.333333333333	2017.43744292237
"382"	0	2017	6	"ptot"	46.7777777777778	2017.43744292237
"383"	0	2017	7	"ntot"	481.818181818182	2017.51930261519
"384"	0	2017	7	"ptot"	52.3636363636364	2017.51930261519
"385"	0	2017	8	"ntot"	710.588235294118	2017.6159548751
"386"	0	2017	8	"ptot"	67.0588235294118	2017.6159548751
"387"	0	2017	9	"ntot"	624.444444444444	2017.73789954338
"388"	0	2017	9	"ptot"	49.7777777777778	2017.73789954338
"389"	0	2018	6	"ntot"	508.125	2018.46626712329
"390"	0	2018	6	"ptot"	54.125	2018.46626712329
"391"	0	2018	7	"ntot"	663.333333333333	2018.5196347032
"392"	0	2018	7	"ptot"	54.4444444444444	2018.5196347032
"393"	0	2018	8	"ntot"	670	2018.61948249619
"394"	0	2018	8	"ptot"	90.5555555555556	2018.61948249619
"395"	0	2018	9	"ntot"	554.705882352941	2018.69701853344
"396"	0	2018	9	"ptot"	57.9411764705882	2018.69701853344
"397"	0	2019	6	"ntot"	607.142857142857	2019.45949119374
"398"	0	2019	6	"ptot"	57.7142857142857	2019.45949119374
"399"	0	2019	7	"ntot"	494.444444444444	2019.54550989346
"400"	0	2019	7	"ptot"	50.2222222222222	2019.54550989346
"401"	0	2019	8	"ntot"	534.090909090909	2019.60759651308
"402"	0	2019	8	"ptot"	59.9090909090909	2019.60759651308
"403"	0	2019	9	"ntot"	480	2019.71111111111
"404"	0	2019	9	"ptot"	54.5555555555556	2019.71111111111
"405"	0	2020	6	"ntot"	599.285714285714	2020.45725995316
"406"	0	2020	6	"ptot"	93.6428571428571	2020.45725995316
"407"	0	2020	7	"ntot"	592.857142857143	2020.55464480874
"408"	0	2020	7	"ptot"	59.1428571428571	2020.55464480874
"409"	0	2020	8	"ntot"	633.6	2020.60218579235
"410"	0	2020	8	"ptot"	59.2	2020.60218579235
"411"	0	2020	9	"ntot"	737.142857142857	2020.68423106948
"412"	0	2020	9	"ptot"	78	2020.68423106948
"413"	0	2021	6	"ntot"	671.111111111111	2021.42922374429
"414"	0	2021	6	"ptot"	52.8888888888889	2021.42922374429
